zip,precinct,ward
60625,4,40
60659,4,40
60659,5,40
60659,6,40
60660,6,40
60660,7,40
60659,8,40
60625,9,40
60659,9,40
60660,10,40
60625,11,40
60659,11,40
60625,12,40
60625,13,40
60625,14,40
60640,14,40
60640,15,40
60660,15,40
60640,16,40
60625,17,40
60625,18,40
60625,19,40
60625,20,40
60640,21,40
60625,22,40
60618,23,40
60625,23,40
60656,1,41
60631,2,41
60656,2,41
60631,3,41
60656,3,41
60625,4,41
60631,4,41
60656,4,41
60631,5,41
60656,5,41
60625,6,41
60656,6,41
60706,6,41
60631,7,41
60656,7,41
60625,8,41
60656,8,41
60625,9,41
60656,9,41
60656,10,41
60656,11,41
60656,12,41
60630,13,41
60656,13,41
60630,14,41
60656,14,41
60631,15,41
60631,16,41
60631,17,41
60631,18,41
60631,19,41
60631,20,41
60631,21,41
60646,21,41
60631,22,41
60646,22,41
60631,23,41
60631,24,41
60631,25,41
60631,26,41
60631,27,41
60631,28,41
60631,29,41
60631,30,41
60631,31,41
60611,1,42
60601,2,42
60601,3,42
60601,4,42
60601,5,42
60601,6,42
60611,7,42
60611,8,42
60611,9,42
60611,10,42
60654,10,42
60601,11,42
60606,11,42
60654,12,42
60654,13,42
60603,14,42
60606,14,42
60606,15,42
60654,15,42
60654,16,42
60654,17,42
60654,18,42
60654,19,42
60654,20,42
60654,21,42
60610,22,42
60611,22,42
60654,22,42
60611,23,42
60611,24,42
60610,1,43
60610,2,43
60610,3,43
60614,4,43
60614,5,43
60614,6,43
60614,7,43
60614,8,43
60614,9,43
60614,10,43
60614,11,43
60614,12,43
60614,13,43
60614,14,43
60610,15,43
60614,15,43
60614,16,43
60614,17,43
60614,18,43
60614,19,43
60614,20,43
60614,21,43
60614,22,43
60614,23,43
60657,1,44
60657,2,44
60657,3,44
60657,4,44
60657,5,44
60657,6,44
60614,7,44
60657,7,44
60614,8,44
60657,8,44
60614,9,44
60657,9,44
60657,10,44
60613,11,44
60657,11,44
60657,12,44
60613,13,44
60657,13,44
60614,14,44
60657,14,44
60657,15,44
60613,16,44
60657,16,44
60657,17,44
60614,18,44
60657,18,44
60613,19,44
60613,20,44
60657,20,44
60657,21,44
60646,1,45
60646,2,45
60646,3,45
60646,4,45
60646,5,45
60631,6,45
60646,6,45
60646,7,45
60630,8,45
60646,8,45
60630,9,45
60646,9,45
60630,10,45
60646,10,45
60630,11,45
60646,11,45
60625,12,45
60630,12,45
60630,13,45
60630,14,45
60630,15,45
60630,16,45
60630,17,45
60630,18,45
60630,19,45
60630,20,45
60630,21,45
60630,22,45
60630,23,45
60630,24,45
60634,24,45
60641,24,45
60630,25,45
60641,25,45
60630,26,45
60641,26,45
60641,27,45
60641,28,45
60618,29,45
60641,29,45
60613,1,46
60657,1,46
60613,2,46
60657,2,46
60613,3,46
60657,3,46
60613,4,46
60613,5,46
60613,6,46
60613,7,46
60613,8,46
60613,9,46
60613,10,46
60640,10,46
60613,11,46
60613,12,46
60613,13,46
60613,14,46
60613,15,46
60613,16,46
60640,16,46
60613,17,46
60640,17,46
60640,18,46
60640,19,46
60640,20,46
60640,21,46
60640,22,46
60640,23,46
60625,1,47
60625,2,47
60640,2,47
60640,3,47
60640,4,47
60640,5,47
60640,6,47
60618,7,47
60625,7,47
60625,8,47
60618,9,47
60625,9,47
60613,10,47
60625,10,47
60640,10,47
60640,11,47
60613,12,47
60640,12,47
60613,13,47
60640,13,47
60618,14,47
60618,15,47
60618,16,47
60613,17,47
60618,17,47
60613,18,47
60618,18,47
60613,19,47
60613,20,47
60613,21,47
60613,22,47
60657,22,47
60613,23,47
60657,23,47
60613,24,47
60618,24,47
60613,25,47
60618,25,47
60657,25,47
60618,26,47
60618,27,47
60618,28,47
60660,1,48
60660,2,48
60660,3,48
60640,4,48
60640,5,48
60660,5,48
60640,6,48
60660,6,48
60640,7,48
60660,7,48
60660,8,48
