Jurisdiction,Zipcode,DistrictType,PRECINCT Name
City of Chicago,60629,PRECINCT,11
City of Chicago,60629,PRECINCT,12
City of Chicago,60629,PRECINCT,13
City of Chicago,60629,PRECINCT,14
City of Chicago,60629,PRECINCT,15
City of Chicago,60629,PRECINCT,16
City of Chicago,60629,PRECINCT,17
City of Chicago,60629,PRECINCT,18
City of Chicago,60629,PRECINCT,19
City of Chicago,60629,PRECINCT,2
City of Chicago,60629,PRECINCT,20
City of Chicago,60629,PRECINCT,21
City of Chicago,60629,PRECINCT,22
City of Chicago,60629,PRECINCT,23
City of Chicago,60629,PRECINCT,24
City of Chicago,60629,PRECINCT,25
City of Chicago,60629,PRECINCT,26
City of Chicago,60629,PRECINCT,27
City of Chicago,60629,PRECINCT,28
City of Chicago,60629,PRECINCT,29
City of Chicago,60629,PRECINCT,3
City of Chicago,60629,PRECINCT,30
City of Chicago,60629,PRECINCT,31
City of Chicago,60629,PRECINCT,32
City of Chicago,60629,PRECINCT,33
City of Chicago,60629,PRECINCT,36
City of Chicago,60629,PRECINCT,4
City of Chicago,60629,PRECINCT,5
City of Chicago,60629,PRECINCT,9
City of Chicago,60630,PRECINCT,10
City of Chicago,60630,PRECINCT,11
City of Chicago,60630,PRECINCT,12
City of Chicago,60630,PRECINCT,13
City of Chicago,60630,PRECINCT,14
City of Chicago,60630,PRECINCT,15
City of Chicago,60630,PRECINCT,16
City of Chicago,60630,PRECINCT,17
City of Chicago,60630,PRECINCT,18
City of Chicago,60630,PRECINCT,19
City of Chicago,60630,PRECINCT,20
City of Chicago,60630,PRECINCT,21
City of Chicago,60630,PRECINCT,22
City of Chicago,60630,PRECINCT,23
City of Chicago,60630,PRECINCT,24
City of Chicago,60630,PRECINCT,25
City of Chicago,60630,PRECINCT,26
City of Chicago,60630,PRECINCT,29
City of Chicago,60630,PRECINCT,30
City of Chicago,60630,PRECINCT,32
City of Chicago,60630,PRECINCT,5
City of Chicago,60630,PRECINCT,6
City of Chicago,60630,PRECINCT,7
City of Chicago,60630,PRECINCT,8
City of Chicago,60630,PRECINCT,9
City of Chicago,60631,PRECINCT,15
City of Chicago,60631,PRECINCT,16
City of Chicago,60631,PRECINCT,17
City of Chicago,60631,PRECINCT,18
City of Chicago,60631,PRECINCT,19
City of Chicago,60631,PRECINCT,2
City of Chicago,60631,PRECINCT,20
City of Chicago,60631,PRECINCT,21
City of Chicago,60631,PRECINCT,22
City of Chicago,60631,PRECINCT,23
City of Chicago,60631,PRECINCT,24
City of Chicago,60631,PRECINCT,25
City of Chicago,60631,PRECINCT,26
City of Chicago,60631,PRECINCT,27
City of Chicago,60631,PRECINCT,28
City of Chicago,60631,PRECINCT,29
City of Chicago,60631,PRECINCT,3
City of Chicago,60631,PRECINCT,30
City of Chicago,60631,PRECINCT,31
City of Chicago,60631,PRECINCT,4
City of Chicago,60631,PRECINCT,5
City of Chicago,60631,PRECINCT,6
City of Chicago,60631,PRECINCT,7
City of Chicago,60632,PRECINCT,10
City of Chicago,60632,PRECINCT,11
City of Chicago,60632,PRECINCT,12
City of Chicago,60632,PRECINCT,13
City of Chicago,60632,PRECINCT,14
City of Chicago,60632,PRECINCT,15
City of Chicago,60632,PRECINCT,16
City of Chicago,60632,PRECINCT,17
City of Chicago,60632,PRECINCT,18
City of Chicago,60632,PRECINCT,2
City of Chicago,60632,PRECINCT,20
City of Chicago,60632,PRECINCT,21
City of Chicago,60632,PRECINCT,22
City of Chicago,60632,PRECINCT,26
City of Chicago,60632,PRECINCT,3
City of Chicago,60632,PRECINCT,4
City of Chicago,60632,PRECINCT,5
City of Chicago,60632,PRECINCT,6
City of Chicago,60632,PRECINCT,7
City of Chicago,60632,PRECINCT,8
City of Chicago,60632,PRECINCT,9
