ward,precinct,zip
50.0,18.0,60645
50.0,31.0,60645
50.0,22.0,60645
50.0,35.0,60645
50.0,36.0,60645
50.0,37.0,60645
50.0,38.0,60645
50.0,39.0,60645
50.0,40.0,60645
50.0,33.0,60645
50.0,34.0,60645
50.0,3.0,60645
49.0,8.0,60645
49.0,10.0,60645
49.0,13.0,60645
49.0,15.0,60645
49.0,19.0,60645
49.0,21.0,60645
49.0,24.0,60645
49.0,33.0,60645
5.0,19.0,60637
3.0,8.0,60637
3.0,16.0,60637
4.0,1.0,60637
4.0,3.0,60637
5.0,21.0,60637
5.0,2.0,60637
5.0,3.0,60637
5.0,5.0,60637
5.0,8.0,60637
5.0,10.0,60637
5.0,11.0,60637
5.0,12.0,60637
5.0,13.0,60637
6.0,4.0,60637
5.0,15.0,60637
5.0,16.0,60637
5.0,18.0,60637
5.0,27.0,60637
5.0,33.0,60637
5.0,35.0,60637
5.0,37.0,60637
5.0,39.0,60637
5.0,34.0,60637
5.0,30.0,60637
5.0,25.0,60637
5.0,24.0,60637
5.0,23.0,60637
5.0,41.0,60637
6.0,7.0,60637
6.0,11.0,60637
6.0,30.0,60637
6.0,32.0,60637
6.0,48.0,60637
6.0,9.0,60637
8.0,1.0,60637
8.0,2.0,60637
20.0,8.0,60637
20.0,1.0,60637
20.0,3.0,60637
20.0,5.0,60637
20.0,7.0,60637
20.0,9.0,60637
20.0,10.0,60637
20.0,11.0,60637
20.0,12.0,60637
20.0,14.0,60637
20.0,16.0,60637
20.0,18.0,60637
20.0,22.0,60637
20.0,23.0,60637
20.0,24.0,60637
20.0,26.0,60637
20.0,28.0,60637
20.0,31.0,60637
20.0,34.0,60637
20.0,35.0,60637
20.0,33.0,60637
20.0,19.0,60637
20.0,37.0,60637
5.0,19.0,60615
3.0,1.0,60615
3.0,4.0,60615
3.0,8.0,60615
3.0,11.0,60615
3.0,16.0,60615
3.0,30.0,60615
3.0,31.0,60615
3.0,37.0,60615
4.0,1.0,60615
4.0,3.0,60615
4.0,8.0,60615
4.0,9.0,60615
4.0,12.0,60615
4.0,15.0,60615
4.0,22.0,60615
4.0,23.0,60615
4.0,24.0,60615
4.0,26.0,60615
5.0,7.0,60615
4.0,31.0,60615
4.0,27.0,60615
4.0,33.0,60615
5.0,9.0,60615
5.0,4.0,60615
5.0,20.0,60615
5.0,21.0,60615
5.0,22.0,60615
5.0,3.0,60615
5.0,8.0,60615
5.0,11.0,60615
5.0,15.0,60615
5.0,18.0,60615
5.0,27.0,60615
5.0,35.0,60615
5.0,37.0,60615
5.0,39.0,60615
5.0,24.0,60615
5.0,23.0,60615
20.0,14.0,60615
20.0,31.0,60615
4.0,10.0,60615
3.0,17.0,60616
